"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Keita Bates-Diop,,2.7,1.6,1.3,1.2,0.3,0.3,
Sam Mack,87.3,2.8,1.9,1.3,1.1,0.3,0.0,-0.1
Rory White,86.6,2.6,1.5,1.0,1.0,0.4,,
Jericho Sims,86.0,2.6,1.5,1.5,1.3,,,
George Lee,85.1,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Jeremy Evans,84.9,2.8,1.6,1.3,0.9,0.9,0.6,0.0
Jeff Ayres,84.2,2.4,1.3,1.2,1.0,0.3,0.2,
Joey Graham,82.9,3.0,2.2,1.3,1.1,0.3,0.0,
Brady Walker,82.6,2.8,1.9,1.2,1.0,,,
Simmie Hill,82.1,3.1,1.6,1.2,1.0,,,
Al Thornton,81.3,2.2,1.6,1.3,1.1,,,
