"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Brandon Boston Jr.,,0.7,0.4,0.2,-0.3
Jim Farmer,75.5,0.7,0.4,0.1,-0.4
Tyler Ennis,68.9,0.8,0.4,0.4,-0.3
Pace Mannion,68.9,0.9,0.4,0.2,-0.2
Jermaine Jackson,68.0,0.6,0.2,0.2,-0.2
Delaney Rudd,64.1,0.6,0.3,0.1,-0.3
Mike Wilks,63.1,0.7,0.6,0.5,-0.3
Terry Duerod,61.9,0.7,0.2,0.2,-0.2
Dru Smith,61.7,0.7,0.3,0.3,
MarJon Beauchamp,60.5,0.7,0.4,0.1,
Acie Law,59.9,0.7,0.6,0.4,-0.1
