"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Dahntay Jones,,2.0,2.0,1.8,1.2,0.9,0.7,0.6,0.6,0.4,0.1,0.0,0.0,-0.4,,
Shelvin Mack,79.3,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,,,,,,,
Alonzo Gee,78.2,2.4,1.9,1.9,1.2,1.0,0.9,0.4,-0.1,,,,,,,
Dion Waiters,75.2,2.1,1.6,1.6,1.2,1.1,0.9,0.1,0.1,,,,,,,
Ledell Eackles,74.7,2.4,2.1,2.0,1.2,1.0,1.0,1.0,,,,,,,,
Aaron Holiday,74.3,2.5,2.1,2.0,1.5,0.9,0.9,0.2,,,,,,,,
Wes Matthews,74.2,3.0,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1,,,,,,
Si Green,74.0,2.6,2.6,1.6,1.1,1.0,0.8,0.8,0.4,0.1,,,,,,
Randy Brown,73.8,2.4,1.9,1.8,1.6,1.5,1.0,0.9,0.4,0.3,0.2,0.0,-0.8,,,
David Wingate,73.8,2.4,2.3,1.9,1.7,1.4,1.0,0.6,0.4,0.3,0.2,0.1,0.1,0.0,-0.1,-0.5
Gary Grant,72.0,3.0,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0.0,0.0,-0.4,,
