Season,Team,Lg,Salary
2003-04,Memphis Grizzlies,NBA,"$1,063,680"
2004-05,Memphis Grizzlies,NBA,"$1,143,360"
2005-06,Memphis Grizzlies,NBA,"$1,223,160"
2006-07,Memphis Grizzlies,NBA,"$1,886,113"
2007-08,Sacramento Kings,NBA,"$753,767"
2008-09,Denver Nuggets,NBA,"$926,678"
2009-10,Indiana Pacers,NBA,"$2,500,000"
2010-11,Indiana Pacers,NBA,"$2,500,000"
2011-12,Indiana Pacers,NBA,"$2,700,000"
2012-13,Atlanta Hawks,NBA,"$2,900,000"
2014-15,Los Angeles Clippers,NBA,"$387,632"
2015-16,Cleveland Cavaliers,NBA,"$8,819"
2016-17,Cleveland Cavaliers,NBA,"$24,022"
Career,(may be incomplete),,"$18,017,231"
