Season,Team,Lg,Salary
2021-22,Oklahoma City Thunder,NBA,"$5,988,000"
2022-23,Oklahoma City Thunder,NBA,"$6,287,400"
2023-24,Oklahoma City Thunder,NBA,"$6,587,040"
2024-25,Chicago Bulls,NBA,"$8,352,367"
Career,(may be incomplete),,"$27,214,807"
