"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Josh Giddey,,5.3,4.3,4.0,0.4,,
Chick Reiser,91.8,5.5,3.9,3.7,,,
Wilbur Holland,90.7,5.9,4.4,3.8,-0.1,,
Isaiah Joe,87.1,5.1,3.8,3.5,0.6,0.4,
Aaron Wiggins,79.8,5.4,3.7,2.6,1.2,,
Charles Dudley,79.7,4.6,4.0,3.6,1.6,0.2,-0.1
Dean Meminger,79.5,5.0,4.4,3.9,2.2,1.0,0.2
Rudy FernÃ¡ndez,79.0,6.1,3.8,3.0,1.2,,
Jim Seminoff,78.6,5.4,4.5,3.6,3.4,,
Luther Head,78.5,5.7,3.5,3.5,0.9,0.6,0.6
Kenny Sailors,77.1,5.2,4.9,3.7,1.7,1.6,
