Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2006-07,26,NJN,NBA,SF,1,0,6,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,18.0,9.0,0.0,9.0,18.0,0.0,47,82,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,6,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,18.0,9.0,0.0,9.0,18.0,0.0,47,82,
