"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Kadeem Allen,,1.0,0.1,-0.1
Wayne Chapman,91.2,1.0,0.1,-0.1
Ian Clark,87.4,0.9,0.2,-0.1
Miye Oni,84.5,0.9,0.1,0.0
Sindarius Thornwell,81.7,1.0,0.1,0.0
Greg Sutton,78.7,0.8,0.2,-0.1
Quenton Jackson,78.2,1.0,0.2,0.0
Sam Jacobson,77.3,0.9,0.2,0.0
Phil Pressey,74.5,0.8,0.1,-0.1
Kevin Ollie,70.1,0.9,0.0,-0.1
Tate George,66.9,1.1,0.4,-0.1
