"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kadeem Allen,,1.0,0.1,-0.1,
Miye Oni,84.5,0.9,0.1,0.0,
Sindarius Thornwell,78.8,1.0,0.1,0.0,0.0
Greg Sutton,78.7,0.8,0.2,-0.1,
Quenton Jackson,78.2,1.0,0.2,0.0,
Sam Jacobson,77.3,0.9,0.2,0.0,
Wayne Chapman,76.1,1.0,0.1,0.0,-0.1
Phil Pressey,74.5,0.8,0.1,-0.1,
Willie Smith,73.4,1.0,0.3,0.0,0.0
Andre McCarter,66.5,0.8,0.3,0.0,
Charles Smith,66.1,1.1,0.0,-0.2,
