"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Vit Krejci,,2.6,0.6,0.6,0.1
Max Christie,94.5,2.7,0.7,0.6,
Glenn Robinson III,90.1,2.5,0.8,0.6,0.1
Franklin Edwards,86.8,2.7,0.6,0.2,0.1
Denzel Valentine,86.2,2.5,0.7,0.6,0.5
Dion Glover,85.4,2.6,0.9,0.8,0.3
Ben McLemore,85.1,2.5,0.8,0.4,0.3
Bob Wilkerson,84.2,2.9,0.9,0.7,0.2
Negele Knight,83.5,3.2,0.6,0.5,0.1
Kris Dunn,82.7,2.3,0.9,0.6,0.1
Jaylen Nowell,81.5,2.8,1.2,0.7,0.2
