"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Sergey Karasev,,0.7,0.3,-0.1
Glenn Hansen,79.5,0.8,0.4,-0.1
Raymond Townsend,78.6,0.8,0.4,-0.2
R.J. Hampton,77.4,0.7,0.4,-0.2
Malik Monk,76.9,0.7,0.3,0.0
Jaden Hardy,75.0,0.7,0.3,-0.3
Greg Sutton,74.8,0.8,0.2,-0.1
Phil Pressey,74.6,0.8,0.1,-0.1
Joe Harris,72.8,0.8,0.2,0.0
Kevin Porter Jr.,71.9,0.8,0.3,0.0
Andre McCarter,70.6,0.8,0.3,0.0
