"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Wendell Carter Jr.,,5.0,4.6,4.6,4.4,3.4,3.3,1.9
Steve Johnson,92.5,4.9,4.4,4.4,4.4,3.1,2.4,1.3
Kevin Duckworth,91.4,5.2,4.8,4.8,4.3,3.3,2.5,0.8
Nerlens Noel,91.0,5.2,4.9,4.3,4.0,4.0,3.0,1.3
Kelly Olynyk,89.7,5.5,4.7,4.1,4.1,3.7,3.6,2.9
Alton Lister,89.2,5.5,5.3,4.1,4.1,4.0,3.8,1.7
Richaun Holmes,87.4,6.1,4.9,4.3,3.8,3.2,2.8,1.5
LaSalle Thompson,86.6,5.6,5.3,4.9,4.5,4.4,2.3,1.9
Kelvin Cato,86.2,5.3,4.6,4.2,3.8,2.7,1.7,1.6
Matt Geiger,85.8,5.9,4.7,4.5,4.3,2.7,1.9,1.2
Herb Williams,84.9,6.2,4.7,4.6,3.5,2.8,2.2,1.8
