"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Cody Martin,,3.9,1.3,1.1,1.0,0.1,-0.2
Ryan Arcidiacono,82.5,3.7,1.4,0.9,0.3,0.1,-0.2
Charlie Williams,80.6,3.9,1.3,1.1,0.6,-0.3,-0.7
Kevin Ollie,77.6,3.8,2.4,1.4,0.9,0.0,-0.1
Stan Stutz,77.2,3.9,1.7,1.1,,,
Jevon Carter,76.9,3.5,1.8,1.6,1.2,0.2,0.0
Cameron Payne,76.9,3.6,1.4,0.8,0.5,0.5,-0.3
Ronnie Lester,76.8,3.9,1.7,0.7,0.2,0.0,-0.2
Angelo Musi,76.4,3.5,1.3,1.1,,,
John Barnhill,74.9,4.6,1.7,1.1,1.0,0.7,0.4
Ernie Beck,74.2,4.3,2.1,1.1,0.9,0.9,-0.4
