"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Cole Anthony,,3.7,3.6,2.0,1.6,0.0,,,,,,,
Pablo Prigioni,88.8,3.4,3.2,2.3,1.5,,,,,,,,
Skeeter Swift,85.3,4.3,3.4,2.7,1.8,0.0,,,,,,,
Jaren Jackson,84.0,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,-0.1
Devin Vassell,83.6,3.6,3.3,2.2,1.5,1.2,,,,,,,
Andre Roberson,82.2,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,,,,
Greivis VÃ¡squez,81.9,3.8,3.6,2.8,2.3,0.5,0.0,-0.3,,,,,
Aaron Nesmith,81.7,4.1,2.9,2.0,1.1,0.4,,,,,,,
Eddie Robinson,81.7,4.0,3.0,2.2,0.8,0.2,,,,,,,
Devin Brown,81.1,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1,,,,
Ollie Taylor,80.6,3.9,3.8,2.8,0.4,,,,,,,,
