"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Marko JariÄ,,2.8,2.4,2.3,1.9,1.5,1.5,-0.4,,,,,
Lonzo Ball,89.8,3.2,2.4,2.2,2.0,1.6,1.2,,,,,,
Shake Milton,80.0,2.9,2.8,2.1,1.7,1.3,0.6,0.3,,,,,
Trey Burke,79.9,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5,0.0,,,
Willie Green,79.8,2.5,2.4,2.3,2.2,2.1,1.8,0.5,0.1,0.0,-0.1,-0.1,-0.7
Mike Bratz,79.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,,,
Josh Okogie,79.1,2.8,2.2,2.1,1.3,1.3,1.2,0.7,,,,,
Landry Shamet,78.4,3.6,2.6,2.6,1.8,1.2,1.0,0.3,,,,,
Haywoode Workman,77.6,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,,,,
Iman Shumpert,77.2,2.4,2.0,2.0,1.9,1.7,1.5,1.4,0.0,0.0,0.0,,
Matisse Thybulle,76.5,3.7,2.8,2.3,2.2,2.1,0.9,,,,,,
