"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Emmanuel Mudiay,,1.0,0.8,0.2,0.0,0.0,-2.1
Ronnie Price,-50.9,1.1,0.9,0.4,0.1,0.1,-0.7
Jimmer Fredette,-52.8,1.1,0.8,0.3,0.2,0.0,-0.2
Salim Stoudamire,-54.4,1.2,0.8,0.3,,,
Mike D'Antoni,-55.5,1.0,0.8,0.3,0.0,,
Dalen Terry,-56.5,1.1,0.8,0.5,,,
Frank Jackson,-60.9,1.2,0.7,0.4,0.2,0.0,
Malachi Flynn,-62.0,1.0,0.8,0.5,0.5,0.0,
Mike Flynn,-63.3,1.7,0.8,0.3,,,
Jordan Hamilton,-64.1,1.6,0.8,0.3,0.2,0.1,
John Jenkins,-64.1,1.7,0.9,0.2,0.2,0.0,-0.1
