Season,Team,Lg,Salary
2010-11,Los Angeles Clippers,NBA,"$1,485,000"
2011-12,Los Angeles Clippers,NBA,"$1,596,360"
2012-13,Los Angeles Clippers,NBA,"$1,707,720"
2013-14,Phoenix Suns,NBA,"$2,626,473"
2014-15,Phoenix Suns,NBA,"$12,173,913"
2015-16,Phoenix Suns,NBA,"$13,086,957"
2016-17,Phoenix Suns,NBA,"$14,000,000"
2017-18,Milwaukee Bucks,NBA,"$14,500,000"
2018-19,Milwaukee Bucks,NBA,"$15,000,000"
2019-20,Milwaukee Bucks,NBA,"$15,625,000"
2020-21,New Orleans Pelicans,NBA,"$16,875,000"
2021-22,Portland Trail Blazers,NBA,"$18,125,000"
2022-23,Portland Trail Blazers,NBA,"$1,300,000"
2023-24,Portland Trail Blazers,NBA,"$1,300,000"
2024-25,Portland Trail Blazers,NBA,"$1,300,000"
Career,(may be incomplete),,"$130,701,423"
