"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rodney White,,1.8,0.5,-0.2,-0.4
Usman Garuba,77.4,1.8,0.5,0.0,
Jim Holstein,74.0,1.8,0.6,0.2,-0.1
Red Morrison,72.3,1.7,0.5,0.0,
Ish Wainright,70.3,1.7,0.6,0.0,
John Fairchild,69.7,1.7,0.7,0.0,-0.6
Ron Bonham,64.7,1.8,0.7,0.2,
Derrick Alston,63.6,1.7,1.0,-0.1,
Bill Bunting,63.2,2.0,0.7,0.0,
Rodions Kurucs,62.9,1.6,0.8,-0.1,
C.J. Kupec,60.8,1.5,0.5,-0.2,
