Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2013-14,21,CHA,NBA,C,4.0,0.0,53.0,3.0,9.0,0.333,0.0,0.0,3.0,9.0,0.333,0.333,2.0,4.0,0.5,5.0,4.0,9.0,2.0,0.0,3.0,2.0,3.0,8.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,23,CHO,NBA,C,7.0,2.0,137.0,21.0,38.0,0.553,0.0,0.0,21.0,38.0,0.553,0.553,17.0,21.0,0.81,9.0,28.0,37.0,2.0,1.0,3.0,7.0,20.0,59.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,30,MIA,NBA,C,21.0,0.0,174.0,20.0,35.0,0.571,0.0,0.0,20.0,35.0,0.571,0.571,6.0,15.0,0.4,11.0,37.0,48.0,7.0,2.0,4.0,13.0,28.0,46.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,32.0,2.0,364.0,44.0,82.0,0.537,0.0,0.0,44.0,82.0,0.537,0.537,25.0,40.0,0.625,25.0,69.0,94.0,11.0,3.0,10.0,22.0,51.0,113.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,933.0,113.0,210.0,0.537,0.0,0.0,113.0,210.0,0.537,0.537,64.0,103.0,0.625,64.0,177.0,241.0,28.0,8.0,26.0,56.0,131.0,290.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),CHA (2 Yrs),,11.0,2.0,190.0,24.0,47.0,0.511,0.0,0.0,24.0,47.0,0.511,0.511,19.0,25.0,0.76,14.0,32.0,46.0,4.0,1.0,6.0,9.0,23.0,67.0,0.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,21.0,0.0,174.0,20.0,35.0,0.571,0.0,0.0,20.0,35.0,0.571,0.571,6.0,15.0,0.4,11.0,37.0,48.0,7.0,2.0,4.0,13.0,28.0,46.0,0.0,
