"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Damian Lillard,,12.6,12.1,11.6,10.6,10.4,10.4,9.6,9.2,9.0,7.7,7.6,5.8,1.7
George Gervin,94.5,12.0,11.4,10.7,10.6,10.5,10.5,10.0,9.4,9.3,7.3,5.5,4.6,1.6
Gary Payton,90.0,13.9,12.9,12.6,12.5,11.7,11.5,10.8,9.3,9.1,7.8,7.2,3.9,3.4
Ray Allen,89.7,13.7,11.1,10.7,10.1,9.7,9.5,9.1,8.9,7.0,6.9,6.3,5.2,4.9
Reggie Miller,89.4,12.5,12.3,12.1,12.0,11.7,11.4,11.3,11.0,10.3,10.1,6.5,6.4,4.2
Clyde Drexler,89.1,13.2,12.8,12.6,12.4,11.7,11.6,10.3,7.5,6.8,6.7,6.7,6.0,2.4
Steve Nash,88.7,12.6,12.4,11.6,10.9,10.5,9.9,8.8,8.4,7.3,4.8,3.0,1.0,0.7
Jeff Hornacek,86.7,11.6,10.2,10.2,10.1,9.7,9.5,8.7,7.7,6.9,6.3,5.3,5.0,1.2
Russell Westbrook,86.0,14.0,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,4.2,3.7,1.9
Vince Carter,84.3,12.9,11.8,10.5,9.4,9.3,7.7,7.5,7.4,7.0,6.0,5.0,4.2,3.8
Chauncey Billups,84.0,15.5,13.5,12.1,11.4,11.3,10.1,9.9,9.5,7.6,3.7,3.0,2.3,0.1
