Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,25,IND,NBA,PF,5.0,5.0,164.0,6.5,19.5,0.333,0.0,0.0,6.5,19.5,0.333,0.333,5.2,5.9,0.889,4.2,4.6,8.8,1.6,2.0,0.0,2.9,4.2,18.2,90.0,111.0,
2011-12,26,IND,NBA,PF,11.0,0.0,164.0,5.7,16.6,0.34,0.0,0.0,5.7,16.6,0.34,0.34,4.7,7.0,0.667,4.0,7.7,11.6,2.0,1.7,1.0,2.7,7.3,16.0,90.0,101.0,
2012-13,27,IND,NBA,PF,19.0,0.0,241.0,5.9,14.1,0.419,0.0,0.0,5.9,14.1,0.419,0.419,5.9,10.0,0.591,8.2,5.7,13.9,1.1,1.4,0.0,3.4,9.4,17.8,102.0,106.0,
2013-14,28,TOR,NBA,PF,3.0,0.0,29.0,1.9,5.6,0.333,0.0,0.0,1.9,5.6,0.333,0.333,9.3,11.2,0.833,3.7,7.5,11.2,1.9,0.0,0.0,3.7,14.9,13.0,111.0,113.0,
2014-15,29,TOR,NBA,PF,4.0,2.0,48.0,1.1,5.3,0.2,0.0,0.0,1.1,5.3,0.2,0.2,3.2,4.2,0.75,1.1,5.3,6.4,3.2,2.1,1.1,2.1,8.5,5.3,78.0,112.0,
2015-16,30,CHO,NBA,PF,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44.0,7.0,652.0,5.4,14.9,0.361,0.0,0.0,5.4,14.9,0.361,0.361,5.3,7.7,0.688,5.3,5.9,11.2,1.7,1.6,0.3,3.0,7.6,16.1,95.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,35.0,5.0,569.0,6.0,16.4,0.366,0.0,0.0,6.0,16.4,0.366,0.366,5.4,7.9,0.675,5.8,5.9,11.8,1.5,1.6,0.3,3.1,7.3,17.4,95.0,106.0,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,7.0,2.0,77.0,1.3,5.4,0.25,0.0,0.0,1.3,5.4,0.25,0.25,5.4,6.7,0.8,2.0,6.1,8.1,2.7,1.3,0.7,2.7,10.8,8.1,94.0,113.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,2.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0,
