Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,19,CHI,NBA,PG,8,0,72,5,17,0.294,0,5,0.0,5,12,0.417,0.294,0,0,0,3,3,12,2,1,2,10,10,0,
1 Yr,1 Yr,1 Yr,1 Yr,,8,0,72,5,17,0.294,0,5,0.0,5,12,0.417,0.294,0,0,0,3,3,12,2,1,2,10,10,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,738,51,174,0.294,0,51,0.0,51,123,0.417,0.294,0,0,0,31,31,123,21,10,21,103,103,0,
