"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
KJ Martin,,4.9,2.9,2.2,1.3,1.1
James Bailey,92.7,4.9,2.9,2.3,2.0,1.0
Paul Reed,88.5,5.1,2.8,1.6,1.3,0.6
Dave Budd,87.1,4.1,3.2,2.3,1.2,0.9
Bingo Smith,86.8,4.2,3.3,2.4,1.6,1.1
Derrick Jones Jr.,86.7,4.4,2.9,2.4,1.1,0.4
Darius Songaila,86.7,4.3,2.6,2.5,1.7,1.1
Glen Davis,85.7,4.9,3.7,2.5,1.7,1.6
Rondae Hollis-Jefferson,85.0,4.1,3.4,2.6,1.2,1.2
Aaron James,84.7,4.3,2.9,2.2,2.1,1.7
Francisco GarcÃ­a,84.6,4.2,2.4,2.4,1.6,1.0
