"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Rodney Stuckey,,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,-0.1
Tim Hardaway Jr.,91.0,4.8,4.4,4.3,3.1,2.6,2.3,2.0,1.9,1.8,0.8
John Long,90.3,5.3,4.7,3.9,3.6,3.6,3.3,2.4,2.1,2.0,0.2
Eric Piatkowski,90.2,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.0,1.2,0.9
Ricky Sobers,90.1,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1.0,0.1
Guy Rodgers,89.9,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,-0.2
Eric Gordon,88.1,5.3,4.7,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Tony Allen,87.8,5.1,4.7,4.2,2.7,2.7,2.7,1.9,1.9,1.7,1.6
Chucky Atkins,87.8,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,-0.2
Gary Harris,87.5,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,0.7,-0.7
Hubert Davis,87.4,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.1
