Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,22,CHI,NBA,SF,44.0,14.0,895.0,96.0,209.0,0.459,14.0,50.0,0.28,82.0,159.0,0.516,0.493,23.0,38.0,0.605,31.0,154.0,185.0,34.0,23.0,6.0,25.0,59.0,229.0,0.0,
2019-20,23,CHI,NBA,SF,28.0,10.0,527.0,80.0,175.0,0.457,12.0,38.0,0.316,68.0,137.0,0.496,0.491,46.0,78.0,0.59,18.0,90.0,108.0,26.0,27.0,7.0,27.0,47.0,218.0,0.0,
2020-21,24,2TM,NBA,SF,25.0,1.0,346.0,39.0,103.0,0.379,8.0,22.0,0.364,31.0,81.0,0.383,0.417,21.0,25.0,0.84,6.0,72.0,78.0,17.0,12.0,5.0,20.0,33.0,107.0,0.0,
2020-21,24,CHI,NBA,SF,7.0,0.0,64.0,5.0,18.0,0.278,1.0,3.0,0.333,4.0,15.0,0.267,0.306,2.0,2.0,1.0,1.0,19.0,20.0,4.0,1.0,0.0,5.0,9.0,13.0,0.0,
2020-21,24,WAS,NBA,SF,18.0,1.0,282.0,34.0,85.0,0.4,7.0,19.0,0.368,27.0,66.0,0.409,0.441,19.0,23.0,0.826,5.0,53.0,58.0,13.0,11.0,5.0,15.0,24.0,94.0,0.0,
2021-22,25,PHO,NBA,SF,6.0,0.0,22.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,103.0,25.0,1790.0,216.0,489.0,0.442,34.0,110.0,0.309,182.0,379.0,0.48,0.476,92.0,143.0,0.643,55.0,321.0,376.0,79.0,62.0,18.0,76.0,140.0,558.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,20.0,1425.0,172.0,389.0,0.442,27.0,88.0,0.309,145.0,302.0,0.48,0.476,73.0,114.0,0.643,44.0,256.0,299.0,63.0,49.0,14.0,61.0,111.0,444.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),CHI (3 Yrs),,79.0,24.0,1486.0,181.0,402.0,0.45,27.0,91.0,0.297,154.0,311.0,0.495,0.484,71.0,118.0,0.602,50.0,263.0,313.0,64.0,51.0,13.0,57.0,115.0,460.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,18.0,1.0,282.0,34.0,85.0,0.4,7.0,19.0,0.368,27.0,66.0,0.409,0.441,19.0,23.0,0.826,5.0,53.0,58.0,13.0,11.0,5.0,15.0,24.0,94.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,0.0,22.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,2.0,2.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,
