Season,Team,Lg,Salary
2012-13,Toronto Raptors,NBA,"$3,627,720"
2013-14,Toronto Raptors,NBA,"$3,526,440"
2014-15,Toronto Raptors,NBA,"$3,678,360"
2015-16,Toronto Raptors,NBA,"$4,660,482"
2016-17,Toronto Raptors,NBA,"$14,382,022"
2017-18,Toronto Raptors,NBA,"$15,460,675"
2018-19,Memphis Grizzlies,NBA,"$16,539,326"
2019-20,Memphis Grizzlies,NBA,"$16,000,000"
2020-21,Memphis Grizzlies,NBA,"$15,000,000"
2021-22,New Orleans Pelicans,NBA,"$14,000,000"
2022-23,New Orleans Pelicans,NBA,"$14,700,000"
2023-24,New Orleans Pelicans,NBA,"$15,435,000"
2024-25,Sacramento Kings,NBA,"$9,900,000"
Career,(may be incomplete),,"$146,910,025"
