"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Chuma Okeke,,2.2,1.3,0.7,0.6,0.3
Pete Verhoeven,91.0,2.1,1.2,0.8,0.7,0.4
Scott Hastings,88.7,2.1,1.3,0.8,0.4,0.1
Steve Novak,84.5,2.2,1.1,0.9,0.4,0.3
Charles Davis,83.5,2.1,1.5,1.0,0.9,0.3
Bob Portman,82.2,1.9,1.2,0.8,0.5,
Henry Walker,81.6,1.9,1.1,0.9,0.5,0.5
Tom Hammonds,81.2,2.2,0.8,0.8,0.6,0.5
Semi Ojeleye,80.2,1.9,1.2,1.2,0.7,0.2
Tellis Frank,80.1,2.0,1.1,0.6,0.3,0.1
Lamar Stevens,80.0,1.9,1.6,0.8,0.4,0.2
