Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,23,LAL,NBA,SF,78,16,1494,6.2,13.4,0.461,3.1,8.2,0.376,3.1,5.2,0.594,0.576,1.5,2.0,0.762,0.9,4.3,5.2,1.6,0.6,0.2,0.9,2.2,17.0,
2025-26,24,LAL,NBA,SF,17,1,284,5.7,12.0,0.474,2.4,6.8,0.352,3.3,5.2,0.634,0.574,0.9,1.4,0.636,1.0,3.5,4.6,1.4,0.9,0.9,1.0,3.0,14.7,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,95,17,1778,6.1,13.2,0.463,3.0,8.0,0.373,3.1,5.2,0.601,0.576,1.4,1.9,0.747,0.9,4.2,5.1,1.6,0.6,0.3,0.9,2.4,16.6,
