"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Mike Sweetney,,3.8,2.1,1.4,0.4,,,
Don Boven,93.4,3.8,2.2,1.5,,,,
Greg Kelser,89.6,3.9,2.5,1.4,0.8,0.1,0.0,
Tony Jaros,88.0,4.4,2.2,1.3,0.6,,,
Willie Long,88.0,3.5,2.1,1.2,,,,
BoÅ¡tjan Nachbar,87.1,4.1,2.2,1.7,0.8,0.1,-0.1,
Zeke Zawoluk,86.0,3.9,2.5,1.7,,,,
Jalen Johnson,84.3,3.8,2.4,2.1,0.0,,,
Ime Udoka,83.8,3.9,2.8,1.3,0.8,0.0,0.0,0.0
Andy Johnson,82.9,4.6,1.8,1.3,0.3,,,
Darren Daye,81.5,3.8,2.4,1.3,1.2,0.6,,
