Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,25,WAS,NBA,C,10.0,10.0,296.0,6.6,12.3,0.542,0.0,0.0,6.6,12.3,0.542,0.542,4.8,7.5,0.636,6.0,7.0,13.0,1.7,2.4,3.4,1.7,6.8,18.1,123.0,104.0,
2005-06,26,WAS,NBA,C,6.0,6.0,155.0,5.2,7.6,0.682,0.0,0.0,5.2,7.6,0.682,0.682,4.5,8.6,0.52,2.4,4.1,6.5,1.7,0.7,3.8,2.4,7.6,14.8,116.0,110.0,
2006-07,27,WAS,NBA,C,3.0,0.0,34.0,8.0,11.2,0.714,0.0,0.0,8.0,11.2,0.714,0.714,4.8,6.4,0.75,4.8,3.2,8.0,1.6,1.6,0.0,1.6,11.2,20.8,142.0,115.0,
2007-08,28,WAS,NBA,C,6.0,6.0,178.0,8.0,13.5,0.591,0.0,0.0,8.0,13.5,0.591,0.591,6.1,7.7,0.8,4.0,8.3,12.3,1.5,1.2,2.8,1.8,7.7,22.1,129.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,30,DAL,NBA,C,6.0,2.0,139.0,4.7,8.2,0.571,0.0,0.0,4.7,8.2,0.571,0.571,4.7,7.8,0.6,7.0,7.4,14.5,1.2,2.7,3.9,1.2,5.5,14.1,132.0,100.0,
2010-11,31,DAL,NBA,C,18.0,0.0,275.0,3.6,6.2,0.581,0.0,0.0,3.6,6.2,0.581,0.581,4.0,8.7,0.465,6.9,7.9,14.7,0.8,0.4,3.6,2.6,9.7,11.3,112.0,105.0,
2011-12,32,DAL,NBA,C,4.0,4.0,61.0,3.5,12.2,0.286,0.0,0.0,3.5,12.2,0.286,0.286,4.3,6.9,0.625,6.1,5.2,11.3,0.9,0.9,1.7,1.7,6.9,11.3,91.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,35,CLE,NBA,C,1.0,0.0,2.0,0.0,26.5,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,54.0,28.0,1140.0,5.6,9.9,0.561,0.0,0.0,5.6,9.9,0.561,0.561,4.7,7.9,0.598,5.5,6.8,12.3,1.4,1.5,3.3,2.0,7.7,15.9,120.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,25.0,22.0,663.0,6.7,11.5,0.586,0.0,0.0,6.7,11.5,0.586,0.586,5.1,7.7,0.653,4.6,6.5,11.1,1.7,1.7,3.2,1.9,7.4,18.5,124.0,107.0,
DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),,28.0,6.0,475.0,3.9,7.6,0.515,0.0,0.0,3.9,7.6,0.515,0.515,4.3,8.2,0.521,6.8,7.4,14.2,0.9,1.2,3.5,2.1,8.1,12.1,114.0,105.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1.0,0.0,2.0,0.0,26.5,0.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,
