"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Derrick Williams,,3.6,3.0,2.6,2.1,1.8,1.1,0.0,,
Lew Hitch,93.2,3.6,3.3,2.7,2.2,2.2,1.2,,,
Don Ford,90.9,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,,
Lavoy Allen,90.8,3.7,2.8,2.5,1.7,1.6,1.5,,,
Edgar Jones,90.1,3.4,3.4,2.6,2.4,2.3,0.9,,,
Scott Padgett,90.0,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,
Toby Kimball,88.4,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0
Lawrence Funderburke,88.3,3.7,3.1,2.1,1.9,1.6,0.5,0.1,,
P.J. Washington,87.9,3.4,2.7,2.6,2.4,2.0,1.9,,,
Nick Weatherspoon,87.3,3.7,3.6,2.6,2.4,2.1,0.6,0.1,,
Glen Gondrezick,86.6,3.6,3.1,3.1,2.7,2.5,0.9,,,
