"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Caleb Houstan,,1.8,1.5,0.7
Al Bianchi,96.9,1.8,1.5,0.8
Mike Bratz,92.2,1.7,1.5,0.4
Med Park,91.8,1.8,1.6,0.4
Lee Mayberry,90.4,1.8,1.6,0.4
MickaÃ«l PiÃ©trus,90.0,2.1,1.5,0.6
Shaquille Harrison,89.1,1.5,1.4,0.8
Richie Regan,88.0,1.6,1.5,0.4
Eric Snow,87.7,1.9,1.3,0.5
Corky Devlin,87.0,1.8,1.2,0.8
John Salmons,87.0,2.1,1.4,0.6
