Season,Team,Lg,Salary
2012-13,Washington Wizards,NBA,"$4,133,280"
2013-14,Washington Wizards,NBA,"$4,319,280"
2014-15,Washington Wizards,NBA,"$4,505,280"
2015-16,Washington Wizards,NBA,"$5,694,674"
2016-17,Washington Wizards,NBA,"$22,116,750"
2017-18,Washington Wizards,NBA,"$23,775,506"
2018-19,Washington Wizards,NBA,"$25,434,262"
2019-20,Washington Wizards,NBA,"$25,399,705"
2020-21,Washington Wizards,NBA,"$28,751,774"
2021-22,Washington Wizards,NBA,"$33,724,200"
2022-23,Washington Wizards,NBA,"$43,279,250"
2023-24,Phoenix Suns,NBA,"$46,741,590"
2024-25,Phoenix Suns,NBA,"$50,203,930"
Career,(may be incomplete),,"$318,079,481"
