"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jamaal Magloire,,7.6,6.7,5.7,2.6,2.0,1.3,1.1,0.6,0.6,0.3,-0.2,-0.6
Andris BiedriÅÅ¡,88.7,8.0,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0.0,,
Neal Walk,82.7,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
Scot Pollard,82.2,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1.0,0.9,0.6,0.2,
Kendrick Perkins,79.7,6.2,5.6,5.2,2.5,2.3,2.0,1.4,1.0,0.8,0.7,0.1,0.1
Darrall Imhoff,79.5,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
Bob Rule,77.7,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,,,,
Joel Przybilla,74.9,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1
Elmore Smith,74.7,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,
Jusuf NurkiÄ,74.1,7.8,5.8,4.7,3.6,2.7,2.4,2.0,1.6,1.5,0.9,0.4,
Nic Claxton,73.9,9.2,6.7,4.3,3.5,1.9,0.5,,,,,,
