"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Bogdan BogdanoviÄ,,3.9,3.9,3.7,3.1,2.9,2.8,2.7,1.9,,,,,
Luke Kennard,90.1,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9,,,,,
Pat Connaughton,89.4,4.4,3.9,3.5,3.4,2.8,2.5,2.5,1.2,0.6,-0.2,,,
John Mengelt,89.3,4.0,3.9,3.9,3.7,3.5,3.2,3.0,2.3,0.6,-0.1,,,
C.J. Watson,87.7,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4,,,
Mike Glenn,87.4,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,,,
Darrell Griffith,86.4,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0,,,
Ernie Grunfeld,84.3,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,,,
Rex Chapman,83.9,4.5,4.2,3.9,3.3,3.0,2.5,1.9,1.4,0.9,0.1,-0.2,-0.7,
Calbert Cheaney,83.1,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,0.3,0.0,-0.1
Jordan Clarkson,83.1,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.4,0.2,,
