"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Bogdan BogdanoviÄ,,3.9,3.9,3.7,3.1,2.9,2.8,2.7,1.9
Mike Glenn,91.6,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9
John Mengelt,90.9,4.0,3.9,3.9,3.7,3.5,3.2,3.0,2.3
Luke Kennard,90.1,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9
C.J. Watson,89.1,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.4
T.J. McConnell,88.8,4.8,3.8,3.8,3.3,3.1,2.9,1.9,1.3
Mike Gale,88.7,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.0
Trent Tucker,87.3,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9
Guy Rodgers,86.7,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1
Jordan Clarkson,85.8,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.2
Henry Bibby,85.6,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0
