"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Tyler Herro,,7.4,3.8,3.5,2.0,1.7,1.6,,,
Miles Bridges,89.2,7.2,4.2,3.2,2.9,2.2,1.6,,,
Bob Verga,83.7,8.2,3.8,3.3,2.8,1.5,0.1,,,
Paul Walther,83.1,6.6,5.2,3.1,2.2,2.0,1.3,,,
Gene Littles,83.0,7.7,4.8,4.2,3.6,1.6,1.4,,,
Ted McClain,82.4,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,
Gary Trent Jr.,81.5,5.6,4.5,3.3,2.5,1.7,1.7,-0.2,,
Å arÅ«nas MarÄiulionis,80.6,6.4,3.8,3.0,2.6,2.5,2.3,-0.5,,
Randy Wittman,80.6,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0
Grayson Allen,80.4,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,
George Senesky,80.4,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,
