"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Emeka Okafor,,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0
DeMarcus Cousins,92.9,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.2,1.1
Sam Lacey,92.5,7.7,7.4,6.5,5.6,5.6,5.0,4.3,2.7,1.2,0.3
Marcus Camby,88.6,10.3,6.9,5.9,5.8,5.5,3.7,3.5,2.1,1.5,0.9
Red Rocha,88.6,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,
Enes Freedom,88.4,8.1,7.5,7.5,6.4,5.8,5.4,4.4,2.3,2.2,1.7
Andrew Bogut,88.3,7.5,6.5,5.5,5.4,5.2,4.8,4.0,2.6,1.7,0.5
Mike Gminski,87.7,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,1.8,1.5
Darryl Dawkins,87.5,7.9,6.4,6.3,5.7,4.6,4.0,2.9,2.1,2.1,0.1
Rik Smits,87.5,7.8,7.2,6.6,6.1,5.0,4.3,3.4,3.3,2.9,2.7
James Edwards,86.6,7.1,7.0,6.7,4.5,4.4,4.3,3.7,3.0,1.4,1.0
