"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2001-02,19.0,UCONN,34,1021,105,178,0,0,57,92,90,306,27,26,138,47,88,267,0.59,,0.62,30.0,7.9,9.0,0.8
2002-03,20.0,UCONN,33,1087,221,381,0,0,82,137,125,370,18,29,156,75,98,524,0.58,,0.599,32.9,15.9,11.2,0.5
2003-04,21.0,UCONN,36,1166,261,436,0,0,113,218,138,415,36,36,147,84,85,635,0.599,,0.518,32.4,17.6,11.5,1.0
Career,,,103,3274,587,995,0,0,252,447,353,1091,81,91,441,206,271,1426,0.59,,0.564,31.8,13.8,10.6,0.8
