Season,Team,Lg,Salary
2013-14,Indiana Pacers,NBA,"$1,246,680"
2014-15,Indiana Pacers,NBA,"$1,302,840"
2015-16,Indiana Pacers,NBA,"$1,358,880"
2016-17,New Orleans Pelicans,NBA,"$11,241,218"
2017-18,New Orleans Pelicans,NBA,"$12,236,535"
2018-19,New Orleans Pelicans,NBA,"$12,252,928"
2019-20,Miami Heat,NBA,"$12,758,781"
2020-21,Atlanta Hawks,NBA,"$1,620,564"
2021-22,New York Knicks,NBA,"$2,389,641"
Career,(may be incomplete),,"$56,408,067"
