Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2024-25,22,SAS,NBA,SF,5,0,35,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,0,2,7,9,3,3,0,1,2,4,0,
2025-26,23,SAS,NBA,SF,3,0,11,2,3,0.667,1,1,1.0,1,2,0.5,0.833,0,0,3,0,3,0,0,0,0,2,5,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,8,0,46,4,7,0.571,1,2,0.5,3,5,0.6,0.643,0,0,5,7,12,3,3,0,1,4,9,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,472,41,72,0.571,10,21,0.5,31,51,0.6,0.643,0,0,51,72,123,31,31,0,10,41,92,0,
