"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2006-07,19.0,IOWAST,31,983,141,317,32,109,67,89,98,244,33,24,33,62,78,381,0.445,0.294,0.753,31.7,12.3,7.9,1.1
2007-08,20.0,IOWAST,27,730,114,288,47,141,60,77,36,107,39,24,11,57,60,335,0.396,0.333,0.779,27.0,12.4,4.0,1.4
2009-10,22.0,SYRACUSE,35,1224,207,412,51,123,112,145,75,299,78,58,64,81,72,577,0.502,0.415,0.772,35.0,16.5,8.5,2.2
Career,,,93,2937,462,1017,130,373,239,311,209,650,150,106,108,200,210,1293,0.454,0.349,0.768,31.6,13.9,7.0,1.6
