"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Nikola VuÄeviÄ,,10.1,8.3,7.3,7.0,6.4,6.3,5.7,5.4,5.2,4.5,4.4,4.0,3.6,1.8,,,
Nate Thurmond,94.4,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4,2.3,,,
Marcus Camby,94.3,10.3,8.5,7.6,6.9,6.8,5.9,5.8,5.5,5.2,3.7,3.7,3.6,3.5,2.1,1.5,0.9,0.0
Brook Lopez,87.5,9.0,8.0,7.9,7.0,6.7,6.6,6.3,6.2,5.9,5.8,5.5,5.3,4.9,3.8,2.3,0.7,0.3
Alvan Adams,86.1,7.7,7.6,7.2,7.2,7.0,6.8,6.5,6.3,4.9,3.9,3.3,2.8,2.2,,,,
Jonas ValanÄiÅ«nas,85.6,8.2,7.9,7.8,7.6,7.3,7.1,7.0,6.9,6.7,5.8,4.3,4.2,3.9,,,,
Vlade Divac,85.1,9.5,8.3,7.4,7.4,7.3,7.3,7.2,7.0,6.1,5.9,5.6,5.3,5.2,5.0,1.8,0.0,
Al Jefferson,83.7,7.8,7.8,7.7,7.7,7.5,6.6,4.9,4.7,4.6,2.8,2.7,2.3,2.3,1.6,,,
Marc Gasol,83.1,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8,,,,
Andre Drummond,82.6,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2,,,,
Zydrunas Ilgauskas,82.2,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.9,2.5,2.5,0.7,0.5,,,,
