"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Pascal Siakam,,9.3,8.1,7.8,7.5,6.9,5.4,4.7,4.2,1.6
Hot Rod Williams,94.8,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.4
Rudy LaRusso,94.4,8.8,8.6,7.3,7.0,6.9,5.5,5.4,3.9,1.7
Rodney McCray,94.1,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5
Mark Aguirre,94.0,9.0,8.9,8.8,7.2,6.9,5.7,4.7,4.5,1.9
Clifford Robinson,93.4,8.7,8.0,7.5,7.1,6.8,6.6,4.6,4.2,0.3
Happy Hairston,93.3,9.2,8.8,7.2,7.0,6.5,5.3,5.1,4.2,0.4
Jack Marin,93.1,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,2.5
Tayshaun Prince,92.8,9.4,8.0,7.5,7.5,7.0,6.2,3.3,3.2,0.8
P.J. Brown,92.3,8.2,8.0,7.5,7.5,6.9,5.3,5.1,4.6,4.2
Greg Ballard,91.9,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0
