"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2008-09,22,OKC,NBA,PF,7.0,0.0,130.0,0.52,7.8,1.0,0.38,0.16,0.3,0.16,0.0,0.52,0.684,0.25,0.6,0.25,,0.654,,0.04,2.0,,0.0,0.0,
2009-10,23,OKC,NBA,PF,12.0,0.0,102.0,0.61,11.3,1.0,0.268,0.049,0.317,0.366,0.0,0.61,0.545,0.5,0.846,0.467,,0.64,,0.073,2.0,,0.0,0.0,
2010-11,24,2TM,NBA,C,47.0,0.0,685.0,0.507,11.0,0.991,0.306,0.114,0.192,0.379,0.009,0.512,0.791,0.4,0.429,0.361,0.0,0.676,,0.068,15.0,0.0,0.0,0.0,
2010-11,24,OKC,NBA,PF,23.0,0.0,219.0,0.462,11.2,1.0,0.292,0.108,0.2,0.4,0.0,0.462,0.789,0.286,0.385,0.308,,0.667,,0.092,6.0,,0.0,0.0,
2010-11,24,CHA,NBA,C,24.0,0.0,466.0,0.526,10.9,0.987,0.312,0.117,0.188,0.37,0.013,0.533,0.792,0.444,0.448,0.386,0.0,0.679,,0.058,9.0,0.0,0.0,0.0,
2011-12,25,CHA,NBA,PF,58.0,11.0,1098.0,0.493,11.6,0.997,0.238,0.147,0.17,0.442,0.003,0.491,0.702,0.365,0.417,0.449,1.0,0.688,0.0,0.042,14.0,0.0,0.0,0.0,
2012-13,26,BOS,NBA,PF,12.0,0.0,86.0,0.522,14.0,1.0,0.13,0.043,0.304,0.522,0.0,0.522,0.667,0.0,0.857,0.333,,0.75,,0.087,2.0,,0.0,0.0,
2013-14,27,CHA,NBA,PF,2.0,0.0,10.0,0.0,15.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,138.0,11.0,2111.0,0.507,11.8,0.996,0.268,0.128,0.201,0.399,0.004,0.507,0.723,0.364,0.5,0.412,0.333,0.68,0.0,0.054,35.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,7.0,1254.0,0.507,11.8,0.996,0.268,0.128,0.201,0.399,0.004,0.507,0.723,0.364,0.5,0.412,0.333,0.68,0.0,0.054,21.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA (3 Yrs),CHA (3 Yrs),CHA (3 Yrs),CHA (3 Yrs),,84.0,11.0,1574.0,0.502,12.8,0.994,0.26,0.138,0.177,0.419,0.006,0.503,0.735,0.386,0.422,0.432,0.333,0.685,0.0,0.047,23.0,0.0,0.0,0.0,
OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),OKC (3 Yrs),,42.0,0.0,451.0,0.519,10.1,1.0,0.314,0.109,0.263,0.314,0.0,0.519,0.694,0.294,0.61,0.347,,0.654,,0.071,10.0,,0.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,12.0,0.0,86.0,0.522,14.0,1.0,0.13,0.043,0.304,0.522,0.0,0.522,0.667,0.0,0.857,0.333,,0.75,,0.087,2.0,,0.0,0.0,
