"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2010-11,25,IND,NBA,PF,5.0,5.0,164.0,0.333,9.3,1.0,0.417,0.15,0.1,0.333,0.0,0.333,0.32,0.444,0.333,0.3,0.7,0.05,3.0,0.0,0.0,
2011-12,26,IND,NBA,PF,11.0,0.0,164.0,0.34,9.3,1.0,0.32,0.2,0.18,0.3,0.0,0.34,0.438,0.1,0.333,0.4,0.882,0.06,3.0,0.0,0.0,
2012-13,27,IND,NBA,PF,19.0,0.0,241.0,0.419,4.1,1.0,0.597,0.274,0.065,0.065,0.0,0.419,0.541,0.294,0.25,0.0,0.462,0.097,6.0,0.0,0.0,
2013-14,28,TOR,NBA,PF,3.0,0.0,29.0,0.333,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,,,,1.0,0.333,1.0,0.0,0.0,
2014-15,29,TOR,NBA,PF,4.0,2.0,48.0,0.2,2.1,1.0,0.8,0.2,0.0,0.0,0.0,0.2,0.25,0.0,,,1.0,0.0,0.0,0.0,0.0,
2015-16,30,CHO,NBA,PF,2.0,0.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,44.0,7.0,652.0,0.361,5.3,1.0,0.472,0.206,0.106,0.217,0.0,0.361,0.435,0.27,0.316,0.308,0.662,0.072,13.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1215.0,0.361,,1.0,0.472,0.206,0.106,0.217,0.0,0.361,0.435,0.27,0.316,0.308,0.662,0.072,24.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,35.0,5.0,569.0,0.366,7.6,1.0,0.453,0.209,0.11,0.227,0.0,0.366,0.449,0.278,0.316,0.308,0.651,0.07,12.0,0.0,0.0,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,7.0,2.0,77.0,0.25,1.9,1.0,0.875,0.125,0.0,0.0,0.0,0.25,0.286,0.0,,,1.0,0.125,1.0,0.0,0.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,2.0,0.0,6.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,
