"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Steve Novak,,4.0,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1,0.0
Jabari Parker,86.6,4.0,3.6,1.6,1.4,1.3,1.2,0.3,0.3,,,
Jarron Collins,84.7,4.2,3.9,3.3,1.3,1.1,1.0,0.7,0.2,0.1,-0.1,
Jason Caffey,84.5,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,,
Mike O'Koren,83.8,4.1,3.8,2.0,1.9,1.5,1.2,0.1,-0.1,,,
George Johnson,81.9,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,,
Rondae Hollis-Jefferson,81.5,4.1,3.4,2.6,1.2,1.2,0.3,,,,,
Terry Davis,81.2,3.6,3.1,2.0,1.4,0.5,0.5,0.5,0.4,0.2,-0.1,
Danny Vranes,80.8,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,,,
Caleb Martin,80.1,4.0,3.7,2.4,0.6,0.5,0.5,,,,,
Toby Kimball,79.9,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,,
