"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Precious Achiuwa,,3.4,2.5,2.3,2.2,1.3
Al Tucker,94.0,3.5,2.3,2.3,2.1,1.1
Tom Hawkins,92.2,3.2,2.9,2.3,2.1,1.2
Don Ford,92.0,3.5,2.8,2.5,2.0,1.5
Mark Landsberger,91.1,3.4,2.2,2.2,1.9,1.7
Nick Weatherspoon,90.4,3.6,2.6,2.4,2.1,0.6
E.C. Coleman,89.9,3.2,2.7,2.6,2.5,1.7
P.J. Washington,89.9,3.4,2.7,2.6,2.0,1.9
Othella Harrington,89.8,3.0,2.5,2.2,1.7,1.4
J.R. Reid,89.1,3.4,3.0,2.1,1.8,1.1
Tim Bassett,88.9,3.7,2.6,2.4,1.5,1.1
