"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Udoka Azubuike,,1.0,0.6,0.2,0.1,,
Keith Closs,87.8,1.1,0.6,0.2,,,
Roger Brown,83.3,0.9,0.7,0.4,0.2,0.1,
Mamadou N'Diaye,82.4,0.8,0.6,0.3,0.2,0.0,
Olivier Sarr,77.3,1.0,0.4,0.2,,,
Å½an Tabak,76.1,1.1,0.9,0.2,0.1,0.1,0.0
Dave Newmark,73.4,0.8,0.7,0.4,,,
Bernard James,73.1,1.2,0.5,0.1,,,
Daniel Santiago,72.1,1.2,0.6,0.0,0.0,,
Jason Collier,71.6,1.2,0.4,0.3,0.0,0.0,
Chris Johnson,66.5,1.0,0.2,0.2,,,
