"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
JJ Redick,,6.7,6.7,6.6,6.5,5.9,5.2,4.8,4.5,4.5,4.1,3.0,2.3,1.7,0.7,0.5,,
Lou Williams,93.3,6.7,6.6,6.1,6.1,5.2,5.1,5.1,4.7,4.4,4.1,3.4,2.6,2.4,1.7,1.1,0.6,-0.1
Reggie Theus,89.8,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,,,,
David Wesley,89.3,7.6,7.0,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6,0.3,,,
Jrue Holiday,88.9,7.1,6.9,6.7,6.6,6.3,5.7,5.4,5.1,4.2,3.9,3.8,3.4,3.4,3.3,1.5,1.2,
Tyrone Corbin,88.5,6.8,6.7,5.6,5.5,5.4,5.4,5.0,4.4,3.0,2.5,2.2,2.1,1.2,0.9,0.1,-0.3,
Nick Van Exel,88.0,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4.0,3.4,2.2,1.6,1.4,1.2,,,,
Kyle Korver,87.7,7.5,6.6,6.4,5.9,5.3,5.1,4.6,4.6,4.2,4.1,3.7,3.7,3.4,2.6,2.5,2.3,1.0
Jason Richardson,87.4,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3.0,2.9,2.8,1.4,0.4,,,,
Danny Ainge,87.3,8.6,6.8,6.7,6.7,6.6,6.2,6.2,5.2,5.2,4.8,3.4,2.8,1.8,0.5,,,
Jeff Malone,86.9,6.6,6.1,5.7,5.6,5.6,5.2,5.1,4.2,4.1,3.6,1.3,1.3,-0.2,,,,
