"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Trey Murphy III,,7.6,5.4,3.5,1.9
Orlando Woolridge,90.8,9.0,5.3,3.6,1.8
Ernie Vandeweghe,90.2,7.1,4.8,3.9,2.1
John Williams,89.8,6.9,5.0,3.5,1.3
Joe Ingles,89.6,7.6,5.0,2.3,2.2
Alex English,89.5,7.0,5.3,4.0,1.2
Warren Davis,89.2,8.1,5.8,3.4,3.2
Jim Brewer,88.8,7.9,5.8,4.4,1.3
Roy Hinson,88.7,7.4,5.0,4.5,2.5
Vince Boryla,88.6,7.4,3.9,3.6,2.1
Michael Cage,88.6,7.2,6.7,3.2,1.7
