"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Enes Freedom,,8.1,7.5,7.5,6.4,5.8,5.4,4.4,2.3,2.2,1.7,1.4,,,
Sam Lacey,88.9,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.6,0.3,-0.1,
Mike Gminski,88.5,9.2,7.0,6.5,6.1,6.0,5.4,4.3,4.0,2.9,1.8,1.5,0.5,0.5,0.0
DeMarcus Cousins,88.0,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.6,1.2,1.1,,,
Red Rocha,87.1,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,,,,
Marcin Gortat,87.0,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,,
Emeka Okafor,86.8,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,,,,
Greg Monroe,86.4,7.5,7.0,6.8,6.6,5.9,5.9,5.6,3.4,1.1,0.7,,,,
Arnie Risen,84.6,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,,,,
Byron Beck,84.4,8.1,7.7,6.4,5.9,5.7,5.7,5.3,5.1,4.4,0.8,,,,
Darryl Dawkins,84.2,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1,0.1,0.0,-0.2
