Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2021-22,23.0,CLE,NBA,C,1,0,23:45,5,6,0.833,0,1,0.0,0,0,,2,9,1,1,2,2,1,10
Career,,,NBA,,1,0,24,5,6,0.833,0,1,0.0,0,0,,2,9,1,1,2,2,1,10
