"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2018-19,20,BRK,NBA,C,5.0,5.0,110.0,0.594,0.594,0.594,0.85,0.674,0.625,0.0,129.0,114.0,113.0,111.0,120.0,242.0,0.0,
2019-20,21,BRK,NBA,C,4.0,4.0,132.0,0.583,0.583,0.583,0.813,0.66,0.667,0.0,127.0,111.0,110.0,105.0,117.0,256.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2022-23,24,CLE,NBA,C,5.0,5.0,191.0,0.611,0.611,0.611,0.5,0.608,0.167,0.0,129.0,112.0,112.0,64.0,105.0,63.0,0.0,
2023-24,25,CLE,NBA,C,4.0,4.0,127.0,0.676,0.676,0.676,0.692,0.702,0.703,0.0,142.0,124.0,124.0,88.0,121.0,288.0,0.0,
2024-25,26,CLE,NBA,C,9.0,9.0,261.0,0.721,0.721,0.721,0.943,0.792,0.574,0.0,154.0,132.0,133.0,121.0,137.0,236.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,27.0,27.0,821.0,0.653,0.653,0.653,0.816,0.705,0.542,0.0,140.0,121.0,121.0,105.0,123.0,217.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,18.0,18.0,579.0,0.679,0.679,0.679,0.806,0.722,0.5,0.0,144.0,124.0,125.0,103.0,125.0,204.0,0.0,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,9.0,9.0,242.0,0.589,0.589,0.589,0.833,0.668,0.643,0.0,128.0,113.0,112.0,108.0,119.0,248.0,0.0,
