"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Jarrett Allen,,11.6,10.7,9.5,8.5,8.2,7.6,6.4,4.2,,,,,
Mel Daniels,92.1,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0.0,,,,
Yao Ming,90.3,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,,,,,
Brad Daugherty,89.7,12.7,11.7,9.6,9.0,6.6,6.4,6.0,3.1,,,,,
Domantas Sabonis,89.6,12.6,12.6,10.1,7.6,7.5,7.1,6.9,4.7,0.8,,,,
Joel Embiid,87.4,12.3,12.0,8.8,8.7,7.5,6.2,6.0,1.9,1.4,,,,
Clyde Lovellette,84.6,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,
Clint Capela,83.3,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0,,
Bam Adebayo,83.0,8.8,8.5,7.5,7.4,7.2,7.2,6.8,4.2,,,,,
Dave Robisch,81.3,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7,0.4,0.1
Swen Nater,80.4,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,,
