"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,23,2TM,NBA,PG,65.0,24.0,1382.0,16.0,72.0,13.0,0.0,0.0,-10.3,-8.3,25.0,31.0,54.0,9.0,58.0,131.0,15.0,35.0,
2000-01,23,DAL,NBA,PG,38.0,6.0,472.0,39.0,49.0,13.0,0.0,0.0,-11.2,-17.9,8.0,5.0,23.0,4.0,20.0,46.0,5.0,12.0,
2000-01,23,WAS,NBA,PG,27.0,18.0,910.0,4.0,83.0,13.0,0.0,0.0,-9.8,-3.4,17.0,26.0,31.0,5.0,38.0,85.0,10.0,23.0,
2001-02,24,WAS,NBA,SG,56.0,28.0,1325.0,2.0,41.0,56.0,1.0,0.0,-6.0,-6.9,30.0,13.0,41.0,14.0,47.0,185.0,5.0,33.0,
2002-03,25,NOH,NBA,PG,66.0,7.0,1360.0,38.0,58.0,4.0,0.0,0.0,-0.2,-3.9,29.0,22.0,44.0,10.0,61.0,176.0,11.0,35.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,187.0,59.0,4067.0,19.0,57.0,24.0,0.0,0.0,-5.5,-6.4,84.0,66.0,139.0,33.0,166.0,492.0,31.0,103.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,26.0,1783.0,19.0,57.0,24.0,0.0,0.0,-5.5,-6.4,37.0,29.0,61.0,14.0,73.0,216.0,14.0,45.0,
,,,,,,,,,,,,,,,,,,,,,,,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,83.0,46.0,2235.0,3.0,59.0,38.0,1.0,0.0,-7.5,-5.5,47.0,39.0,72.0,19.0,85.0,270.0,15.0,56.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,66.0,7.0,1360.0,38.0,58.0,4.0,0.0,0.0,-0.2,-3.9,29.0,22.0,44.0,10.0,61.0,176.0,11.0,35.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,38.0,6.0,472.0,39.0,49.0,13.0,0.0,0.0,-11.2,-17.9,8.0,5.0,23.0,4.0,20.0,46.0,5.0,12.0,
