"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Courtney Alexander,,2.2,1.1,0.8,,,
Jordan Goodwin,92.4,2.2,1.2,1.0,-0.1,,
Kevin O'Shea,89.6,2.1,1.2,0.5,,,
Chink Crossin,88.9,2.1,1.2,0.5,,,
Corky Devlin,87.7,1.8,1.2,0.8,,,
Dirk Minniefield,86.5,1.9,1.1,1.1,,,
Ian Clark,86.3,2.3,1.1,0.9,0.2,-0.1,-0.1
Kenny Higgs,86.2,2.2,1.5,1.0,,,
A.J. Price,85.8,2.2,1.2,0.7,0.3,0.3,0.0
Steve Kramer,84.8,1.9,1.2,1.1,,,
A.J. Green,83.1,2.8,1.1,0.8,,,
