Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,24,BOS,NBA,SG,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,5.5,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.5,2.0,
