Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2024-25,24,BOS,NBA,SG,4,0,22,4.9,16.4,0.3,3.3,8.2,0.4,1.6,8.2,0.2,0.4,0.0,0.0,1.6,4.9,6.5,0.0,0.0,0.0,1.6,3.3,13.1,
1 Yr,1 Yr,1 Yr,1 Yr,,4,0,22,4.9,16.4,0.3,3.3,8.2,0.4,1.6,8.2,0.2,0.4,0.0,0.0,1.6,4.9,6.5,0.0,0.0,0.0,1.6,3.3,13.1,
