"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2016-17,21,UTA,NBA,PF,2.0,0.0,10.0,0.429,15.3,0.571,0.143,0.286,0.0,0.143,0.429,0.5,1.0,0.5,0.0,0.333,1.0,1.0,0.0,0.0,0.667,0.5,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,23,DEN,NBA,PF,3.0,0.0,8.0,0.0,13.9,0.667,0.0,0.667,0.0,0.0,0.333,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,27,SAC,NBA,PF,7.0,0.0,118.0,0.425,17.4,0.325,0.175,0.15,0.0,0.0,0.675,0.615,0.571,0.667,,0.333,0.625,1.0,0.075,3.0,0.593,0.313,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,12.0,0.0,136.0,0.4,15.5,0.38,0.16,0.2,0.0,0.02,0.62,0.526,0.625,0.5,0.0,0.323,0.7,1.0,0.06,3.0,0.581,0.333,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,929.0,0.4,15.5,0.38,0.16,0.2,0.0,0.02,0.62,0.526,0.625,0.5,0.0,0.323,0.7,1.0,0.06,21.0,0.581,0.333,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,7.0,0.0,118.0,0.425,17.4,0.325,0.175,0.15,0.0,0.0,0.675,0.615,0.571,0.667,,0.333,0.625,1.0,0.075,3.0,0.593,0.313,0.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,3.0,0.0,8.0,0.0,13.9,0.667,0.0,0.667,0.0,0.0,0.333,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,2.0,0.0,10.0,0.429,15.3,0.571,0.143,0.286,0.0,0.143,0.429,0.5,1.0,0.5,0.0,0.333,1.0,1.0,0.0,0.0,0.667,0.5,0.0,0.0,
