Highlight,Unnamed: 1,In Stathead
"Career high, Points",28.0,View full stats from top 20 games
"Career high, Rebounds",6.0,View full stats from top 20 games
"Career high, Assists",10.0,View full stats from top 20 games
"Career high, Steals",2.0,View full stats from top 20 games
"Career high, Blocks",2.0,View full stats from top 20 games
"Career high, Game Score",28.5,View full stats from top 20 games
