"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jake Tsakalidis,,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,
Steven Hunter,83.7,2.8,2.6,2.5,1.0,0.9,0.6,0.1,0.1,
Hub Reed,82.4,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,
Cole Aldrich,82.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0.0,
Zach Collins,80.8,2.9,2.7,2.2,1.8,1.2,0.6,0.3,,
Francisco Elson,79.6,3.1,2.9,1.8,1.8,1.6,0.6,0.0,0.0,0.0
Salah Mejri,79.6,3.0,2.7,1.3,1.1,,,,,
Day'Ron Sharpe,78.2,2.9,2.7,1.6,1.2,,,,,
Ekpe Udoh,77.8,3.2,2.7,2.1,1.6,0.7,0.3,0.0,,
Jim Krebs,75.5,4.2,2.8,1.5,1.3,1.3,1.2,0.1,,
Jim McIlvaine,75.1,3.0,1.9,1.8,1.5,0.8,0.3,0.1,,
