Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2000-01,21,PHO,NBA,C,4.0,4.0,75.0,4.0,10.7,0.375,0.0,0.0,4.0,10.7,0.375,0.375,0.0,0.0,,6.7,12.0,18.7,0.0,0.0,4.7,0.7,7.3,8.0,95.0,99.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04,24,MEM,NBA,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,37.2,37.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,37.2,50.0,123.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,26,MEM,NBA,C,4.0,3.0,59.0,5.9,9.8,0.6,0.0,0.0,5.9,9.8,0.6,0.6,1.0,2.0,0.5,3.9,6.9,10.8,2.0,1.0,1.0,6.9,12.8,12.8,81.0,115.0,
2006-07,27,HOU,NBA,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,36.5,36.5,1.0,18.3,54.8,73.0,0.0,0.0,0.0,0.0,0.0,36.5,242.0,79.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,10.0,7.0,140.0,4.6,9.9,0.462,0.0,0.0,4.6,9.9,0.462,0.462,1.9,2.3,0.833,5.7,10.7,16.4,0.8,0.4,3.0,4.2,9.1,11.0,88.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),MEM (2 Yrs),,5.0,3.0,62.0,5.6,9.3,0.6,0.0,0.0,5.6,9.3,0.6,0.6,2.8,3.7,0.75,3.7,6.5,10.3,1.9,0.9,0.9,9.3,12.1,14.0,76.0,115.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,4.0,4.0,75.0,4.0,10.7,0.375,0.0,0.0,4.0,10.7,0.375,0.375,0.0,0.0,,6.7,12.0,18.7,0.0,0.0,4.7,0.7,7.3,8.0,95.0,99.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,36.5,36.5,1.0,18.3,54.8,73.0,0.0,0.0,0.0,0.0,0.0,36.5,242.0,79.0,
