"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Terrance Ferguson,,2.8,1.2,0.6,-0.2,,,
Shaedon Sharpe,90.5,3.0,1.2,0.5,,,,
A.J. Green,88.4,2.8,1.1,0.8,,,,
Jaylen Nowell,84.9,2.8,1.2,0.7,0.2,0.1,-0.2,
Harold Ellis,83.4,2.8,0.9,0.9,,,,
Ralph Johnson,83.2,2.9,1.6,0.8,0.0,,,
Justin Jackson,81.8,2.9,1.2,1.0,0.2,0.1,0.0,0.0
Bones Hyland,80.7,2.4,1.4,0.5,0.0,,,
Johnny High,80.3,2.5,1.2,1.1,-0.1,,,
Max Christie,79.3,2.7,0.7,0.6,,,,
Ochai Agbaji,77.3,3.1,1.3,0.1,,,,
